ID,Location,Desc Name,IOCC Num,E,N,Zone,Elevation,Number of Records,Start Date,End Date,Max Depth
1,Barney,BARNEY NO. 1,B1048DG,621988,6088495,19,644,8,8/15/1977,9/30/1980,2941
2,Barney,BARNEY NO. 1,B1051DG,621900,6089268,19,649,9,10/1/1977,8/30/1980,7163
3,Barney,BARNEY NO. 1,B1053DG,621534,6089464,19,639,8,10/1/1977,8/30/1980,1433
4,Barney,BARNEY NO. 1,B1054DG,621630,6089558,19,655,8,10/1/1977,9/30/1980,732
5,Barney,BARNEY NO. 1,B1055CC,621764,6089263,19,641,4,10/1/1977,2/26/1980,3048
6,Barney,BARNEY NO. 1,B1056CC,621760,6089389,19,651,9,10/1/1977,8/30/1980,3383
7,Barney,BARNEY NW EXTENSION,Z2223CC,621264,6090266,19,616,6,7/22/1979,9/30/1980,1463
8,Barney,BARNEY NW EXTENSION,Z2237CC,621335,6090164,19,621,6,7/22/1979,9/30/1980,3048
9,Barney,BARNEY NO. 2 (BAR1 BL),B1046DG,622343,6088804,19,631,5,7/20/1977,8/31/1979,5334
10,Barney,BARNEY NO. 2(BAR1 BL),B1047DG,622380,6088952,19,643,6,7/20/1977,2/26/1980,3505
11,Barney,BARNEY NO. 2(BAR1 BL),B2001CC,622261,6088980,19,648,6,7/22/1979,9/30/1980,2591
12,Barney,BARNEY NO. 2(BAR1 BL),B2006CC,622417,6088835,19,638,6,7/22/1979,9/30/1980,4267
13,Ferriman,FERRIMAN SITE 1 HOLE 1,NONE,632658,6076864,19,728,75,6/12/1959,11/27/1975,2100
14,Ferriman,FERRIMAN SITE 1 HOLE 10,NONE,633207,6075975,19,699,101,1/17/1960,11/28/1964,1820
15,Ferriman,FERRIMAN SITE 1 HOLE 11,NONE,633241,6076003,19,697,99,1/16/1960,6/10/1965,1820
16,Ferriman,"FERRIMAN 1, CABLE 1104",F1104,633040,6075887,19,701,3,10/9/1957,11/12/1959,4410
17,Ferriman,"FERRIMAN 1, CABLE 1105",F1105R,633340,6076053,19,694,9,9/28/1959,5/15/1960,2745
18,Ferriman,"FERRIMAN 1, CABLE 1114",F1114,633138,6075726,19,701,1,10/9/1957,10/9/1957,4570
19,Ferriman,"FERRIMAN 1, CABLE 1115",F1115RD,633380,6076091,19,681,1,11/2/1957,11/2/1957,5330
20,Ferriman,"FERRIMAN 1, CABLE 122",F122,634522,6075173,19,649,3,8/6/1957,8/24/1957,2410
21,Ferriman,FERRIMAN SITE HOLE#128,F128,632841,6076081,19,705,3,8/1/1957,8/24/1957,6095
22,Ferriman,"FERRIMAN 1, CABLE 1283",F1283CC,633211,6076310,19,670,1,6/7/1978,6/7/1978,1707
23,Ferriman,"FERRIMAN 1, CABLE 1285",F1285CC,633141,6076374,19,672,2,6/7/1978,8/24/1978,1340
24,Ferriman,"FERRIMAN 1, CABLE 1288",F1288CC,633051,6076540,19,682,1,6/7/1978,6/7/1978,1710
25,Ferriman,FERRIMAN SITE HOLE# 147,F147,632964,6076037,19,699,6,8/1/1957,5/17/1958,3050
26,Ferriman,FERRIMAN SITE HOLE 149,F149,633627,6075550,19,685,8,8/3/1957,8/24/1959,3050
27,Ferriman,FERRIMAN 1 CABLE 171,F171,633296,6076011,19,697,2,7/31/1957,7/31/1957,3050
28,Ferriman,FERRIMAN 1 SITE HOLE #173,F173,633389,6075869,19,697,3,7/31/1957,8/24/1957,3050
29,Ferriman,FERRIMAN 1 CABLE 175,F175,634184,6075350,19,659,10,8/7/1957,8/31/1959,3050
30,Ferriman,FERRIMAN 1 CABLE 177,F177,634283,6089050,19,657,9,8/6/1957,8/31/1959,3050
31,Ferriman,FERRIMAN 1 CABLE 178,F178,633785,6075462,19,676,3,8/14/1957,8/22/1957,3050
32,Ferriman,FERRIMAN 1 CABLE 187,F187,633098,6076450,19,697,3,8/2/1957,8/24/1957,3050
33,Ferriman,FERRIMAN 1 CABLE 2,F1172RD,633556,6075834,19,681,3,8/24/1958,9/29/1959,6060
34,Ferriman,FERRIMAN 1 CABLE 3,X641C,632220,6075728,19,760,125,8/22/1959,6/10/1965,1520
35,Ferriman,FERRIMAN 1 CABLE 4,X642C,632072,6075803,19,754,83,8/22/1959,6/10/1965,2920
36,Ferriman,FERRIMAN 1 CABLE 5,F1102C,633218,6076323,19,691,102,8/24/1959,5/2/1975,1520
37,Ferriman,FERRIMAN 1 HOLE 197,F197(C?),633372,6075517,19,694,15,11/21/1957,10/15/1962,3810
38,Ferriman,FERRIMAN SITE 1 HOLE 9,,633218,6075895,19,697,50,1/17/1960,11/12/1962,1820
39,Ferriman,FERRIMAN 7 CABLE 12 EMF,FE7001,632137,6075771,19,675,166,11/17/1961,3/26/1977,3050
40,Ferriman,FERRIMAN CABLE 13 EMF,FE7002,631951,6075887,19,672,151,11/20/1961,3/26/1977,3050
41,Ferriman,FERRIMAN 7 EXP SITE #14,FE7004,632329,6075618,19,680,170,11/16/1961,3/26/1977,5800
42,Ferriman,FERRIMAN 7 EXP SITE #15,FE7003,632535,6075355,19,675,160,11/16/1961,3/9/1976,3050
43,Ferriman,FERRIMAN 7 EXP SITE # 16,FE7005,632690,6075400,19,593,175,11/16/1961,3/26/1977,1520
44,Ferriman,FERRIMAN 7 EXP SITE #17,FE7006,632684,6075667,19,655,165,11/17/1961,3/26/1977,1520
45,Fleming,FLEMING 3 HOLE 3084,FL3084CC,626671,6081134,19,678,14,7/22/1974,6/28/1976,7071
46,Fleming,FLEMING 3 HOLE 3089,FL3089CC,626887,6080876,19,684,12,7/22/1974,3/15/1976,7315
47,Fleming,FLEMING 3  HOLE 3090,FL3090CC,626866,6080854,19,683,14,7/22/1974,6/28/1976,4206
48,Fleming,FLEMING 3 HOLE 3092,FL3092CCC,626600,6080979,19,688,19,7/22/1974,6/28/1976,8443
49,Fleming,FLEMING 3 HOLE 3093,FL3093CC,626636,6081143,19,680,12,7/22/1974,3/15/1976,3505
50,Fleming,FLEMING 3 HOLE 3101,FL3101CC,626727,6081107,19,677,12,11/12/1974,6/28/1976,5669
